Loading mega dataset...
228851 rows, 25 feature sets x 5 models = 125 configurations planned
[71/125] round3_plus_gdelt_chirps_unhcr / xgb_default: precision=0.346 recall=0.687 AP=0.503 AUC=0.836 (1.2s, ETA 2.3m)
[72/125] round3_plus_gdelt_chirps_unhcr / rf_default: precision=0.343 recall=0.698 AP=0.508 AUC=0.839 (6.8s, ETA 2.3m)
[73/125] round3_plus_gdelt_chirps_unhcr / logreg: precision=0.363 recall=0.651 AP=0.492 AUC=0.831 (0.6s, ETA 2.2m)
[74/125] round3_plus_gdelt_chirps_unhcr / lgbm_default: precision=0.353 recall=0.674 AP=0.499 AUC=0.833 (1.4s, ETA 2.2m)
[75/125] round3_plus_gdelt_chirps_unhcr / ensemble_3way: precision=0.353 recall=0.681 AP=0.509 AUC=0.839 (7.8s, ETA 2.2m)
[76/125] round3_plus_all_external / xgb_default: precision=0.346 recall=0.687 AP=0.503 AUC=0.836 (1.1s, ETA 2.1m)
[77/125] round3_plus_all_external / rf_default: precision=0.343 recall=0.698 AP=0.508 AUC=0.839 (6.8s, ETA 2.1m)
[78/125] round3_plus_all_external / logreg: precision=0.363 recall=0.651 AP=0.492 AUC=0.831 (0.6s, ETA 2.1m)
[79/125] round3_plus_all_external / lgbm_default: precision=0.353 recall=0.674 AP=0.499 AUC=0.833 (1.4s, ETA 2.0m)
[80/125] round3_plus_all_external / ensemble_3way: precision=0.353 recall=0.681 AP=0.509 AUC=0.839 (7.9s, ETA 2.0m)
[81/125] round3_plus_hawkes_cusum / xgb_default: precision=0.339 recall=0.698 AP=0.498 AUC=0.837 (1.1s, ETA 2.0m)
[82/125] round3_plus_hawkes_cusum / rf_default: precision=0.337 recall=0.712 AP=0.510 AUC=0.841 (5.7s, ETA 1.9m)
[83/125] round3_plus_hawkes_cusum / logreg: precision=0.351 recall=0.679 AP=0.491 AUC=0.835 (0.8s, ETA 1.9m)
[84/125] round3_plus_hawkes_cusum / lgbm_default: precision=0.340 recall=0.694 AP=0.491 AUC=0.834 (1.1s, ETA 1.8m)
[85/125] round3_plus_hawkes_cusum / ensemble_3way: precision=0.344 recall=0.700 AP=0.508 AUC=0.841 (6.9s, ETA 1.8m)
[86/125] round3_plus_graphdiff / xgb_default: precision=0.337 recall=0.698 AP=0.499 AUC=0.835 (0.9s, ETA 1.8m)
[87/125] round3_plus_graphdiff / rf_default: precision=0.338 recall=0.711 AP=0.511 AUC=0.841 (4.8s, ETA 1.7m)
