week,n_events,n_material_conflict,n_severe_root,n_coerce_protest_root,mean_goldstein,mean_tone,tone_neg_share,distinct_actors,country,material_conflict_share,severe_root_share,coerce_protest_share,baseline_mean_material_conflict_share,baseline_std_material_conflict_share,baseline_mean_severe_root_share,baseline_std_severe_root_share,baseline_mean_mean_goldstein,baseline_std_mean_goldstein,escalation_quad,label_quad_1,label_quad_2,label_quad_4,label_quad_8,n_events_lag1,n_events_lag2,n_events_delta,material_conflict_share_lag1,material_conflict_share_lag2,material_conflict_share_delta,severe_root_share_lag1,severe_root_share_lag2,severe_root_share_delta,coerce_protest_share_lag1,coerce_protest_share_lag2,coerce_protest_share_delta,mean_goldstein_lag1,mean_goldstein_lag2,mean_goldstein_delta,distinct_actors_lag1,distinct_actors_lag2,distinct_actors_delta,mean_tone_lag1,mean_tone_lag2,mean_tone_delta,tone_neg_share_lag1,tone_neg_share_lag2,tone_neg_share_delta,radio_n_clips,radio_mean_relevance,radio_conflict_clip_share,radio_actor_hits_per_clip,radio_location_hits_per_clip,radio_violence_hits_per_clip,radio_diplomacy_hits_per_clip,radio_violence_to_diplomacy_ratio,radio_n_stations,radio_commentary_share,radio_mean_text_len,radio_n_clips_lag1,radio_n_clips_delta,radio_mean_relevance_lag1,radio_mean_relevance_delta,radio_conflict_clip_share_lag1,radio_conflict_clip_share_delta,radio_actor_hits_per_clip_lag1,radio_actor_hits_per_clip_delta,radio_location_hits_per_clip_lag1,radio_location_hits_per_clip_delta,radio_violence_hits_per_clip_lag1,radio_violence_hits_per_clip_delta,radio_diplomacy_hits_per_clip_lag1,radio_diplomacy_hits_per_clip_delta,radio_violence_to_diplomacy_ratio_lag1,radio_violence_to_diplomacy_ratio_delta,radio_n_stations_lag1,radio_n_stations_delta,radio_commentary_share_lag1,radio_commentary_share_delta,radio_mean_text_len_lag1,radio_mean_text_len_delta
2025-07-07,300,39,30,12,1.4146666666666667,-2.077897082107988,0.87,57,CG,0.13,0.1,0.04,0.19983867638480288,0.06968033827472564,0.14139328688879615,0.0682868728819375,-0.10106507421258111,0.9948730335319356,0,0,0,0,0,270.0,8.0,30.0,0.1,0.0,0.03,0.07037037037037037,0.0,0.02962962962962963,0.022222222222222223,0.0,0.017777777777777778,1.8192592592592591,1.9375,-0.4045925925925924,64.0,4.0,-7.0,-0.6833379263490561,2.4914085342768475,-1.394559155758932,0.5962962962962963,0.0,0.27370370370370367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-14,279,57,45,11,0.5469534050179211,-2.091914126877834,0.6594982078853047,55,CG,0.20430107526881722,0.16129032258064516,0.03942652329749104,0.19914720434138897,0.06967845821291192,0.1409834523651447,0.06806930612198415,-0.08605782925338065,1.001309935458725,0,0,1,0,0,300.0,270.0,-21.0,0.13,0.1,0.07430107526881721,0.1,0.07037037037037037,0.06129032258064515,0.04,0.022222222222222223,-0.000573476702508964,1.4146666666666667,1.8192592592592591,-0.8677132616487456,57.0,64.0,-2.0,-2.077897082107988,-0.6833379263490561,-0.014017044769845999,0.87,0.5962962962962963,-0.21050179211469533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-21,377,63,40,8,-0.11220159151193637,-4.639900177971094,0.8938992042440318,60,CG,0.16710875331564987,0.10610079575596817,0.021220159151193633,0.1991977324877363,0.06933453526793291,0.14118253932804178,0.06776132909097164,-0.07985183676052475,0.9983101238651734,0,1,0,1,0,279.0,300.0,98.0,0.20430107526881722,0.13,-0.03719232195316735,0.16129032258064516,0.1,-0.05518952682467698,0.03942652329749104,0.04,-0.018206364146297404,0.5469534050179211,1.4146666666666667,-0.6591549965298575,55.0,57.0,5.0,-2.091914126877834,-2.077897082107988,-2.5479860510932597,0.6594982078853047,0.87,0.23440099635872713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-07-28,595,178,166,12,-1.3608403361344539,-4.620943564194653,0.8890756302521008,87,CG,0.2991596638655462,0.27899159663865547,0.020168067226890758,0.19888618900062868,0.06906623428975596,0.14084193987588572,0.06751689328525864,-0.08016591204937341,0.9934095071675805,1,0,0,0,0,377.0,279.0,218.0,0.16710875331564987,0.20430107526881722,0.13205091054989634,0.10610079575596817,0.16129032258064516,0.1728908008826873,0.021220159151193633,0.03942652329749104,-0.0010520919243028753,-0.11220159151193637,0.5469534050179211,-1.2486387446225176,60.0,55.0,27.0,-4.639900177971094,-2.091914126877834,0.018956613776440534,0.8938992042440318,0.6594982078853047,-0.004823573991931007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-04,309,72,51,20,-0.270873786407767,-2.573512751287305,0.7216828478964401,69,CG,0.23300970873786409,0.1650485436893204,0.06472491909385113,0.19985035702817597,0.06942991511440233,0.14217030196014313,0.06854039731093894,-0.09248008920403764,0.9965198000250644,0,0,1,0,1,595.0,377.0,-286.0,0.2991596638655462,0.16710875331564987,-0.06614995512768213,0.27899159663865547,0.10610079575596817,-0.11394305294933507,0.020168067226890758,0.021220159151193633,0.04455685186696037,-1.3608403361344539,-0.11220159151193637,1.0899665497266868,87.0,60.0,-18.0,-4.620943564194653,-4.639900177971094,2.0474308129073484,0.8890756302521008,0.8938992042440318,-0.16739278235566069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-11,261,53,40,13,0.6302681992337165,-4.705385302671493,0.8850574712643678,49,CG,0.20306513409961685,0.1532567049808429,0.04980842911877394,0.20016616037779203,0.06917104784164484,0.14238818997661148,0.06824661118627265,-0.09417907679645411,0.9918700652644892,0,1,0,0,0,309.0,595.0,-48.0,0.23300970873786409,0.2991596638655462,-0.029944574638247234,0.1650485436893204,0.27899159663865547,-0.011791838708477498,0.06472491909385113,0.020168067226890758,-0.014916489975077184,-0.270873786407767,-1.3608403361344539,0.9011419856414835,69.0,87.0,-20.0,-2.573512751287305,-4.620943564194653,-2.131872551384188,0.7216828478964401,0.8890756302521008,0.16337462336792774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-18,511,150,125,27,-2.005675146771037,-4.897250453987731,0.8864970645792564,74,CG,0.29354207436399216,0.2446183953033268,0.05283757338551859,0.2001935091864885,0.06884144973393355,0.14249072313702876,0.06792905289308232,-0.08734466853201854,0.9896402435784257,1,0,0,0,0,261.0,309.0,250.0,0.20306513409961685,0.23300970873786409,0.0904769402643753,0.1532567049808429,0.1650485436893204,0.0913616903224839,0.04980842911877394,0.06472491909385113,0.0030291442667446447,0.6302681992337165,-0.270873786407767,-2.635943346004754,49.0,69.0,25.0,-4.705385302671493,-2.573512751287305,-0.19186515131623771,0.8850574712643678,0.7216828478964401,0.001439593314888521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-25,287,46,39,7,0.662369337979094,-3.6219229156583492,0.759581881533101,57,CG,0.1602787456445993,0.13588850174216027,0.024390243902439025,0.2010659256834745,0.06910770660863759,0.143445187362882,0.0683249718184001,-0.10527299075855141,1.0022678040340178,0,0,0,0,0,511.0,261.0,-224.0,0.29354207436399216,0.20306513409961685,-0.13326332871939287,0.2446183953033268,0.1532567049808429,-0.10872989356116652,0.05283757338551859,0.04980842911877394,-0.028447329483079563,-2.005675146771037,0.6302681992337165,2.6680444847501312,74.0,49.0,-17.0,-4.897250453987731,-4.705385302671493,1.2753275383293814,0.8864970645792564,0.8850574712643678,-0.12691518304615534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-01,448,82,44,37,-0.05223214285714285,-4.339316043824668,0.875,71,CG,0.18303571428571427,0.09821428571428571,0.08258928571428571,0.2006882666090405,0.06889589548383904,0.14337521805157902,0.06800883414330719,-0.09816519141838803,1.0003043373509228,0,0,0,1,1,287.0,511.0,161.0,0.1602787456445993,0.29354207436399216,0.022756968641114983,0.13588850174216027,0.2446183953033268,-0.03767421602787456,0.024390243902439025,0.05283757338551859,0.05819904181184669,0.662369337979094,-2.005675146771037,-0.7146014808362369,57.0,74.0,14.0,-3.6219229156583492,-4.897250453987731,-0.7173931281663184,0.759581881533101,0.8864970645792564,0.11541811846689898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-08,407,60,47,14,0.4238329238329238,-4.264410768366539,0.8132678132678133,75,CG,0.14742014742014742,0.11547911547911548,0.0343980343980344,0.20052631658772557,0.06859703225723064,0.1429608975714204,0.0678313104745005,-0.09774378730314726,0.9956722491387545,0,0,0,0,0,448.0,287.0,-41.0,0.18303571428571427,0.1602787456445993,-0.035615566865566856,0.09821428571428571,0.13588850174216027,0.017264829764829764,0.08258928571428571,0.024390243902439025,-0.048191251316251314,-0.05223214285714285,0.662369337979094,0.47606506669006665,71.0,57.0,4.0,-4.339316043824668,-3.6219229156583492,0.07490527545812853,0.875,0.759581881533101,-0.06173218673218672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
