week,n_events,total_best_deaths,n_state_based,n_nonstate,n_onesided,n_distinct_dyads,country,deaths_per_event,state_based_share,baseline_mean_total_best_deaths,baseline_std_total_best_deaths,baseline_mean_n_events,baseline_std_n_events,escalation,label_1,label_2,label_4,label_8,n_events_lag1,n_events_lag2,n_events_delta,total_best_deaths_lag1,total_best_deaths_lag2,total_best_deaths_delta,deaths_per_event_lag1,deaths_per_event_lag2,deaths_per_event_delta,state_based_share_lag1,state_based_share_lag2,state_based_share_delta,n_distinct_dyads_lag1,n_distinct_dyads_lag2,n_distinct_dyads_delta
2019-09-30,6.0,31.0,2.0,2.0,2.0,5.0,CG,5.166666666666667,0.3333333333333333,72.23,344.29134636523855,2.690625,4.205617269766991,0,0,0,1,1,3.0,10.0,3.0,13.0,89.0,18.0,4.333333333333333,8.9,0.8333333333333339,0.6666666666666666,0.4,-0.3333333333333333,2.0,6.0,3.0
2019-10-07,3.0,10.0,3.0,0.0,0.0,2.0,CG,3.3333333333333335,1.0,72.20424734540912,344.18528096353674,2.692692067457839,4.2051162660196795,0,0,1,1,1,6.0,3.0,-3.0,31.0,13.0,-21.0,5.166666666666667,4.333333333333333,-1.8333333333333335,0.3333333333333333,0.6666666666666666,0.6666666666666667,5.0,2.0,-3.0
2019-10-14,4.0,7.0,3.0,0.0,1.0,3.0,CG,1.75,0.75,72.16541822721598,344.0812833062197,2.6928838951310863,4.203809794372336,0,1,1,1,1,3.0,6.0,1.0,10.0,31.0,-3.0,3.3333333333333335,5.166666666666667,-1.5833333333333335,1.0,0.3333333333333333,-0.25,2.0,5.0,1.0
2019-10-21,9.0,16.0,1.0,3.0,5.0,6.0,CG,1.7777777777777777,0.1111111111111111,72.12476606363069,343.97772610907236,2.69369931378665,4.202624348267695,1,1,1,1,1,4.0,3.0,5.0,7.0,10.0,9.0,1.75,3.3333333333333335,0.02777777777777768,0.75,1.0,-0.6388888888888888,3.0,2.0,3.0
2019-10-28,13.0,96.0,4.0,4.0,5.0,10.0,CG,7.384615384615385,0.3076923076923077,72.08977556109726,343.8732729770475,2.697630922693267,4.20426297910183,1,1,1,1,1,9.0,4.0,4.0,16.0,7.0,80.0,1.7777777777777777,1.75,5.606837606837607,0.1111111111111111,0.75,0.1965811965811966,6.0,3.0,4.0
2019-11-04,16.0,89.0,8.0,1.0,7.0,9.0,CG,5.5625,0.5,72.10467289719627,343.7665819305524,2.70404984423676,4.210811970852309,1,1,1,1,1,13.0,9.0,3.0,96.0,16.0,-7.0,7.384615384615385,1.7777777777777777,-1.822115384615385,0.3076923076923077,0.1111111111111111,0.1923076923076923,10.0,6.0,-1.0
2019-11-11,19.0,73.0,8.0,1.0,10.0,7.0,CG,3.8421052631578947,0.42105263157894735,72.11519302615193,343.65973145156903,2.712328767123288,4.22255447411403,1,1,1,1,1,16.0,13.0,3.0,89.0,96.0,-16.0,5.5625,7.384615384615385,-1.7203947368421053,0.5,0.3076923076923077,-0.07894736842105265,9.0,10.0,-2.0
2019-11-18,8.0,36.0,3.0,0.0,5.0,4.0,CG,4.5,0.375,72.11574362165526,343.5527230558758,2.722464219041693,4.240748412654893,1,1,1,1,1,19.0,16.0,-11.0,73.0,89.0,-37.0,3.8421052631578947,5.5625,0.6578947368421053,0.42105263157894735,0.5,-0.046052631578947345,7.0,9.0,-3.0
2019-11-25,11.0,91.0,4.0,1.0,6.0,6.0,CG,8.272727272727273,0.36363636363636365,72.09328358208955,343.4469947640895,2.7257462686567164,4.241471115948865,1,1,1,1,1,8.0,19.0,3.0,36.0,73.0,55.0,4.5,3.8421052631578947,3.7727272727272734,0.375,0.42105263157894735,-0.011363636363636354,4.0,7.0,2.0
2019-12-02,20.0,149.0,8.0,2.0,10.0,8.0,CG,7.45,0.4,72.10503418272219,343.34050847078834,2.73088875077688,4.245166612787696,1,1,1,1,1,11.0,8.0,9.0,91.0,36.0,58.0,8.272727272727273,4.5,-0.8227272727272732,0.36363636363636365,0.375,0.036363636363636376,6.0,4.0,2.0
