priogrid_gid,lat,lon,country,n_events_total
137239,5.3028524375,39.330455625,Ethiopia,16
137240,5.299695464285715,39.579312964285705,Ethiopia,28
137253,5.279043210526316,46.33290463157895,Somalia,19
137256,5.1760453823529415,47.922289735294115,Somalia,34
137959,5.693125304347825,39.33112056521739,Ethiopia,23
138452,6.404892962962963,-74.48705111111111,Colombia,27
138457,6.412470333333333,-71.75736341666666,Colombia,36
138664,6.2462605,31.5919295,South Sudan,18
139177,6.824339307692307,-71.83855942307693,Colombia,26
139178,6.755086,-71.29865939999999,Colombia,15
139380,6.6832321875,29.805944875,South Sudan,16
139415,6.773100865384615,47.42557657692308,Somalia,52
139889,7.274305833333333,-75.72650636111112,Colombia,36
139890,7.164732333333333,-75.28328283333333,Colombia,30
139891,7.2114079,-74.73208665,Colombia,20
139892,7.286170697674419,-74.35184795348837,Colombia,43
139893,7.217959364864865,-73.77998862162163,Colombia,74
140119,7.1274489999999995,39.14008716666667,Ethiopia,24
140120,7.054754066666666,39.958568866666674,Ethiopia,15
140607,7.8566084,-76.62999666666668,Colombia,15
140610,7.7572850454545454,-75.27320390909091,Colombia,22
140612,7.847683157894738,-74.14542842105263,Colombia,19
140615,7.86403595,-72.53240565000002,Colombia,20
140817,7.709836470588235,28.002885882352942,South Sudan,17
140819,7.828345235294116,29.048348,South Sudan,17
141332,8.314102,-74.39010400000001,Colombia,15
141333,8.363852,-73.83287182608696,Colombia,23
141334,8.325708375,-73.2845538125,Colombia,16
141335,8.236940149999999,-72.68045645,Colombia,20
141355,8.357516666666665,-62.64707666666667,Venezuela,21
141541,8.266486814814815,30.16683603703704,South Sudan,27
141558,8.256762068965518,38.83182731034483,Ethiopia,29
141575,8.43324211111111,47.311012000000005,Somalia,18
142052,8.558651333333334,-74.12054800000001,Colombia,15
142054,8.730925000000001,-73.19970127777778,Colombia,36
142055,8.550537176470588,-72.68431644117648,Colombia,68
142270,8.67324736111111,34.756233305555554,Ethiopia,36
142276,8.843412285714285,37.775861761904764,Ethiopia,21
142277,8.640881217391305,38.2502587826087,Ethiopia,23
142278,8.650515705882352,38.79117576470588,Ethiopia,17
