country,date,gkg_n_docs,gkg_fragility_theme_share,gkg_mean_tone
AF,2026-06-07,332,0.677710843373494,-1.569143880049502
ET,2026-06-07,70,0.7714285714285715,-1.9507887790456688
CO,2026-06-14,169,0.5207100591715976,-1.0464870557353225
BM,2026-06-14,42,0.8809523809523809,-1.3395725500330786
SU,2026-06-14,132,0.8560606060606061,-5.69232388424811
VE,2026-06-14,193,0.7461139896373057,-2.6093499263032496
AF,2026-06-14,271,0.7047970479704797,-1.4708051127237842
ET,2026-06-14,72,0.7222222222222222,-0.7029955451833287
CO,2026-06-21,391,0.629156010230179,-1.8941532337057776
BM,2026-06-21,35,0.6285714285714286,0.6428820060307994
SU,2026-06-21,160,0.94375,-3.796100819250365
VE,2026-06-21,201,0.6567164179104478,-0.9060504528581655
AF,2026-06-21,280,0.7035714285714286,-2.1698196158881844
ET,2026-06-21,151,0.8079470198675497,-0.6245838635699871
CO,2026-06-28,551,0.27041742286751363,0.542870435941902
BM,2026-06-28,31,0.41935483870967744,-1.188962444119916
SU,2026-06-28,75,0.88,-4.272216149355456
VE,2026-06-28,947,0.9260823653643083,-2.086618518944183
AF,2026-06-28,371,0.8867924528301887,-2.782176078825045
ET,2026-06-28,71,0.7746478873239436,-0.05101342474124488
CO,2026-07-05,182,0.38461538461538464,0.5681038473424989
BM,2026-07-05,13,0.7692307692307693,-1.1875286868127655
SU,2026-07-05,65,0.9538461538461539,-1.6839601928914363
VE,2026-07-05,878,0.8963553530751709,-2.4710340398603146
AF,2026-07-05,392,0.7346938775510204,-1.5773767120845936
ET,2026-07-05,74,0.7702702702702703,0.19206768173667
CO,2026-07-12,196,0.24489795918367346,0.5091227483571582
BM,2026-07-12,16,0.75,-1.4490208240959452
SU,2026-07-12,113,0.49557522123893805,-1.931314155273102
VE,2026-07-12,228,0.75,-2.088645172676072
AF,2026-07-12,660,0.7954545454545454,-0.840618539645157
ET,2026-07-12,70,0.7857142857142857,-0.29398364846248576
CO,2026-07-19,417,0.4940047961630695,-0.9244700222740836
BM,2026-07-19,22,0.8181818181818182,-0.30193018186416826
SU,2026-07-19,48,0.875,-1.8345054181017935
VE,2026-07-19,538,0.42936802973977695,-0.4751860675784317
AF,2026-07-19,290,0.7310344827586207,-3.5764129737828045
ET,2026-07-19,92,0.7717391304347826,-1.2720376082804257
CO,2026-07-26,124,0.7580645161290323,-1.7289297873161527
BM,2026-07-26,30,0.5,0.17350793922567853
SU,2026-07-26,438,0.9178082191780822,-0.33419404443617823
VE,2026-07-26,651,0.9354838709677419,-4.270692680705669
AF,2026-07-26,248,0.8467741935483871,-3.1149540461304004
ET,2026-07-26,71,0.7183098591549296,0.9322890839656736
