week,n_events,n_material_conflict,n_verbal_conflict,n_severe_root,n_coerce_protest_root,mean_goldstein,mean_tone,tone_neg_share,total_mentions,distinct_actors,country,region,material_conflict_share,severe_root_share,coerce_protest_share,baseline_mean_material_conflict_share,baseline_std_material_conflict_share,baseline_mean_severe_root_share,baseline_std_severe_root_share,baseline_mean_mean_goldstein,baseline_std_mean_goldstein,escalation_quad,escalation_root,label_quad_1,label_root_1,label_quad_2,label_root_2,label_quad_4,label_root_4,label_quad_8,label_root_8,n_events_lag1,n_events_lag2,n_events_delta,material_conflict_share_lag1,material_conflict_share_lag2,material_conflict_share_delta,severe_root_share_lag1,severe_root_share_lag2,severe_root_share_delta,coerce_protest_share_lag1,coerce_protest_share_lag2,coerce_protest_share_delta,mean_goldstein_lag1,mean_goldstein_lag2,mean_goldstein_delta,distinct_actors_lag1,distinct_actors_lag2,distinct_actors_delta,mean_tone_lag1,mean_tone_lag2,mean_tone_delta,tone_neg_share_lag1,tone_neg_share_lag2,tone_neg_share_delta
2026-04-06,619,69,80,19,41,0.884329563812601,-2.011021865103263,0.5961227786752827,6331,127,ET,East/NE Africa,0.11147011308562198,0.030694668820678513,0.06623586429725363,0.1117761069659161,0.03758410193926972,0.06599097689674258,0.027194927904124512,1.2735722240098366,0.5640567550094538,0,0,0,0,0,0,0,0,0,0,530.0,587.0,89.0,0.09056603773584905,0.10902896081771721,0.020904075349772927,0.0509433962264151,0.06132879045996593,-0.020248727405736584,0.03962264150943396,0.04770017035775128,0.02661322278781967,1.5354716981132075,1.3954003407155027,-0.6511421343006065,102.0,113.0,25.0,-0.21401075290238047,-1.071848972846097,-1.7970111122008827,0.45660377358490567,0.5076660988074957,0.13951900509037707
2026-04-13,597,41,48,21,23,1.6902847571189281,-0.013179283122667512,0.44221105527638194,5297,97,ET,East/NE Africa,0.06867671691792294,0.035175879396984924,0.038525963149078725,0.11177393679655231,0.03744964131537304,0.0657406484706712,0.027260175572005257,1.270811637767303,0.5629937736890182,0,0,0,0,0,0,0,0,0,0,619.0,530.0,-22.0,0.11147011308562198,0.09056603773584905,-0.04279339616769903,0.030694668820678513,0.0509433962264151,0.004481210576306412,0.06623586429725363,0.03962264150943396,-0.027709901148174905,0.884329563812601,1.5354716981132075,0.8059551933063271,127.0,102.0,-30.0,-2.011021865103263,-0.21401075290238047,1.9978425819805956,0.5961227786752827,0.45660377358490567,-0.1539117233989008
2026-04-20,781,73,66,43,27,1.4335467349551856,-0.3203320071857915,0.4942381562099872,4315,119,ET,East/NE Africa,0.09346991037131883,0.05505761843790013,0.034571062740076826,0.11147043524811126,0.03749145331819007,0.0655254036180396,0.02728416659670603,1.2737656738190752,0.5620971184409445,0,0,0,0,0,0,0,0,0,0,597.0,619.0,184.0,0.06867671691792294,0.11147011308562198,0.02479319345339588,0.035175879396984924,0.030694668820678513,0.019881739040915204,0.038525963149078725,0.06623586429725363,-0.003954900409001899,1.6902847571189281,0.884329563812601,-0.25673802216374253,97.0,127.0,22.0,-0.013179283122667512,-2.011021865103263,-0.307152724063124,0.44221105527638194,0.5961227786752827,0.05202710093360524
2026-04-27,646,58,65,34,27,1.1283281733746129,-0.1045283470877211,0.43034055727554177,3983,103,ET,East/NE Africa,0.08978328173374613,0.05263157894736842,0.04179566563467492,0.11134455745177006,0.037389521030343716,0.0654522023230736,0.027202014033344307,1.27488302389695,0.5602737541709695,0,0,0,0,0,0,0,0,0,0,781.0,597.0,-135.0,0.09346991037131883,0.06867671691792294,-0.0036866286375727003,0.05505761843790013,0.035175879396984924,-0.0024260394905317104,0.034571062740076826,0.038525963149078725,0.007224602894598094,1.4335467349551856,1.6902847571189281,-0.3052185615805727,119.0,97.0,-16.0,-0.3203320071857915,-0.013179283122667512,0.21580366009807042,0.4942381562099872,0.44221105527638194,-0.06389759893444541
2026-05-04,977,104,153,80,20,0.5024564994882292,-2.41405327773389,0.6786079836233367,10020,133,ET,East/NE Africa,0.10644831115660185,0.08188331627430911,0.02047082906857728,0.11119482637039489,0.0373018581049976,0.06536317021629785,0.027127781739017767,1.2738652818794338,0.5584448791388414,0,0,0,0,0,0,0,0,0,0,646.0,781.0,331.0,0.08978328173374613,0.09346991037131883,0.01666502942285572,0.05263157894736842,0.05505761843790013,0.029251737326940697,0.04179566563467492,0.034571062740076826,-0.02132483656609764,1.1283281733746129,1.4335467349551856,-0.6258716738863837,103.0,119.0,30.0,-0.1045283470877211,-0.3203320071857915,-2.309524930646169,0.43034055727554177,0.4942381562099872,0.24826742634779497
2026-05-11,835,54,87,38,25,1.7150898203592813,-0.9347412243700849,0.49580838323353293,14696,111,ET,East/NE Africa,0.06467065868263473,0.045508982035928146,0.029940119760479042,0.11116209178271355,0.03717420200309777,0.06547710225807725,0.027068213544828704,1.2685452213112187,0.5601775837123589,0,0,0,0,0,0,0,0,0,0,977.0,646.0,-142.0,0.10644831115660185,0.08978328173374613,-0.041777652473967114,0.08188331627430911,0.05263157894736842,-0.03637433423838097,0.02047082906857728,0.04179566563467492,0.009469290691901763,0.5024564994882292,1.1283281733746129,1.212633320871052,133.0,103.0,-22.0,-2.41405327773389,-0.1045283470877211,1.4793120533638051,0.6786079836233367,0.43034055727554177,-0.1827996003898038
2026-05-18,747,73,71,51,20,1.4630522088353415,-0.7833136005591504,0.6024096385542169,4399,132,ET,East/NE Africa,0.09772423025435073,0.06827309236947791,0.02677376171352075,0.11084365730942533,0.03724507051801736,0.0653403343113502,0.027025287442488062,1.271603745962233,0.5594645318860838,0,0,0,0,0,0,0,0,0,0,835.0,977.0,-88.0,0.06467065868263473,0.10644831115660185,0.033053571571716,0.045508982035928146,0.08188331627430911,0.022764110333549768,0.029940119760479042,0.02047082906857728,-0.0031663580469582925,1.7150898203592813,0.5024564994882292,-0.2520376115239398,111.0,133.0,21.0,-0.9347412243700849,-2.41405327773389,0.15142762381093444,0.49580838323353293,0.6786079836233367,0.10660125532068399
2026-05-25,791,97,93,32,57,0.9426042983565108,-0.7816476169578577,0.5461441213653603,7118,133,ET,East/NE Africa,0.12262958280657396,0.040455120101137804,0.07206068268015171,0.11075440950632962,0.037133069095010414,0.0653602850464395,0.026933662284838945,1.2729061164579683,0.5577688229000055,0,0,0,0,0,0,0,0,0,1,747.0,835.0,44.0,0.09772423025435073,0.06467065868263473,0.02490535255222323,0.06827309236947791,0.045508982035928146,-0.02781797226834011,0.02677376171352075,0.029940119760479042,0.045286920966630964,1.4630522088353415,1.7150898203592813,-0.5204479104788307,132.0,111.0,1.0,-0.7833136005591504,-0.9347412243700849,0.0016659836012927753,0.6024096385542169,0.49580838323353293,-0.05626551718885664
2026-06-01,762,82,110,56,31,0.31456692913385825,-0.9341610967378299,0.5708661417322834,5269,104,ET,East/NE Africa,0.10761154855643044,0.07349081364829396,0.04068241469816273,0.11083464716376368,0.037019422249815234,0.0651920069049172,0.026919849819259666,1.2706743474167421,0.5565310857601944,0,0,0,0,0,0,0,0,0,0,791.0,747.0,-29.0,0.12262958280657396,0.09772423025435073,-0.015018034250143517,0.040455120101137804,0.06827309236947791,0.03303569354715616,0.07206068268015171,0.02677376171352075,-0.031378267981988985,0.9426042983565108,1.4630522088353415,-0.6280373692226526,133.0,132.0,-29.0,-0.7816476169578577,-0.7833136005591504,-0.1525134797799722,0.5461441213653603,0.6024096385542169,0.02472202036692317
2026-06-08,822,110,66,37,22,1.6045012165450123,-0.05579694223099487,0.5060827250608273,5751,120,ET,East/NE Africa,0.13381995133819952,0.045012165450121655,0.0267639902676399,0.11081301562948627,0.03689508951885606,0.06524770359447006,0.02683736304590627,1.2642575191061187,0.5601511203099618,0,0,0,0,0,0,0,0,0,0,762.0,791.0,60.0,0.10761154855643044,0.12262958280657396,0.026208402781769072,0.07349081364829396,0.040455120101137804,-0.028478648198172307,0.04068241469816273,0.07206068268015171,-0.013918424430522828,0.31456692913385825,0.9426042983565108,1.2899342874111541,104.0,133.0,16.0,-0.9341610967378299,-0.7816476169578577,0.878364154506835,0.5708661417322834,0.5461441213653603,-0.06478341667145615
