country,week,gkg_n_docs,gkg_mean_tone
EC,2025-05-11,81,-0.9932059459296215
CO,2025-05-11,215,-1.7837657956436181
KG,2025-05-11,29,-0.49001395194430836
OD,2025-05-11,29,-2.573072636139716
ER,2025-05-11,6,-3.2695961148723836
NU,2025-05-11,99,-2.4956461659646374
BL,2025-05-11,62,-2.7471476656200666
UZ,2025-05-11,47,-0.5987576515020454
BM,2025-05-11,31,-0.6902609759659452
TI,2025-05-11,7,-0.8855934873381505
PK,2025-05-18,1802,-2.1793120478398866
AF,2025-05-18,267,-2.8603533967600856
ET,2025-05-18,105,-0.342126510647877
HA,2025-05-18,61,-1.050764237188925
OD,2025-05-18,31,-1.4189125279082546
SU,2025-05-18,86,-2.7208739466051792
VE,2025-05-18,209,-1.8802643306577185
PE,2025-05-18,1124,0.6817042153758037
KE,2025-05-18,284,-1.031650151577299
NU,2025-05-18,26,-1.4718963879878246
EC,2025-05-18,47,-0.28934779697787316
CO,2025-05-18,197,-1.2790440974665902
SO,2025-05-18,147,-6.714058876459265
BM,2025-05-18,25,-1.8653017175348086
TI,2025-05-18,20,-2.18147560881791
BL,2025-05-18,30,-1.038038010400963
UZ,2025-05-18,43,1.2616866675822525
ER,2025-05-18,5,-3.696973482723302
KG,2025-05-18,18,0.9982368914745413
KE,2025-05-25,241,0.17834396057733493
PE,2025-05-25,286,-1.0416209403412384
SO,2025-05-25,177,-2.2580173805338015
PK,2025-05-25,1499,-2.220611315141893
AF,2025-05-25,326,-2.143140862805643
TI,2025-05-25,52,1.004478273108844
BM,2025-05-25,26,-1.8313519115277461
OD,2025-05-25,50,-4.685770240741346
CO,2025-05-25,323,-4.494440964515788
BL,2025-05-25,38,-0.8923223256337187
KG,2025-05-25,31,1.0678776428390275
VE,2025-05-25,283,-3.7800170370226387
EC,2025-05-25,60,-0.9036063405283502
ET,2025-05-25,128,-0.3753600993946338
UZ,2025-05-25,39,1.3258892613481543
SU,2025-05-25,122,-3.375405896833613
ER,2025-05-25,5,3.5148753892088225
NU,2025-05-25,13,-1.4328237052135644
HA,2025-05-25,54,-2.155913240687148
VE,2025-06-01,341,-3.266161667629492
BM,2025-06-01,133,-4.0804133948681605
OD,2025-06-01,137,-3.775500607269876
HA,2025-06-01,115,-0.8686589945043723
PK,2025-06-01,1453,-2.8239042592512957
KE,2025-06-01,331,-0.8258003765634754
AF,2025-06-01,252,-1.4459502968078533
UZ,2025-06-01,59,1.6854970666642464
ET,2025-06-01,188,1.0400914134176877
KG,2025-06-01,32,1.4888808286563975
NU,2025-06-01,44,-3.4984620870290617
PE,2025-06-01,102,0.43525432603157416
CO,2025-06-01,157,-1.0437686310433425
SU,2025-06-01,157,-3.84428167803485
BL,2025-06-01,30,-1.105023871775821
EC,2025-06-01,63,-0.638111399894536
SO,2025-06-01,63,-1.1391784547761339
ER,2025-06-01,9,-0.7681758340435548
TI,2025-06-01,38,-0.26231833575186597
CO,2025-06-08,1056,-3.4018601483215063
PK,2025-06-08,692,-1.7515994202506815
AF,2025-06-08,544,-3.1100752335880326
ER,2025-06-08,251,-4.848428207032329
HA,2025-06-08,284,-4.038921873765735
SO,2025-06-08,277,-4.690621837194796
VE,2025-06-08,399,-3.5960766368916968
SU,2025-06-08,288,-4.616391467985574
OD,2025-06-08,51,-5.977507066003183
EC,2025-06-08,173,-2.4021544045713394
KE,2025-06-08,412,-2.530958959137783
BM,2025-06-08,29,-1.4064518604415608
ET,2025-06-08,143,1.2574970672979457
NU,2025-06-08,114,0.7881943156901976
PE,2025-06-08,114,-0.373828865594704
BL,2025-06-08,16,-0.0016129209638695305
UZ,2025-06-08,36,-0.21958240935136064
KG,2025-06-08,43,-1.7011368639768258
TI,2025-06-08,5,0.7875606351497348
AF,2025-07-06,368,-2.373416578841003
KE,2025-07-06,375,-0.9519285106896097
PK,2025-07-06,1043,-2.5329588597386663
HA,2025-07-06,186,-2.1675596008271687
ET,2025-07-06,508,0.0362806320621889
VE,2025-07-06,159,-0.4325486126189195
SO,2025-07-06,150,-4.893537906308978
SU,2025-07-06,91,-2.460004162946136
UZ,2025-07-06,68,1.32834381766762
CO,2025-07-06,154,-0.23294549855200636
OD,2025-07-06,145,-4.618851742013723
PE,2025-07-06,96,1.0197348127005774
EC,2025-07-06,33,-0.03499939091612876
KG,2025-07-06,22,1.4909198276321156
TI,2025-07-06,23,0.7862804955251422
BL,2025-07-06,37,-0.6755076946924361
ER,2025-07-06,17,-0.3379365382500173
BM,2025-07-06,45,-1.2246893069416136
NU,2025-07-06,36,-1.5166628365046364
PK,2025-07-13,1144,-2.8771138667891267
KE,2025-07-13,337,-0.686553586682348
ET,2025-07-13,418,0.1155300610683951
PE,2025-07-13,178,-2.065791039735343
CO,2025-07-13,258,-1.4214221644588685
AF,2025-07-13,306,-3.1252500554842335
VE,2025-07-13,212,-3.1467169810836277
NU,2025-07-13,48,-2.5212528596160664
SU,2025-07-13,109,-3.7752595708203533
BL,2025-07-13,129,0.6972222734371119
HA,2025-07-13,109,-2.089273677610634
BM,2025-07-13,55,-0.6708081319467478
SO,2025-07-13,77,-2.386890366616841
ER,2025-07-13,13,-1.712635586370193
TI,2025-07-13,24,-0.15781241872582577
UZ,2025-07-13,40,0.27276372440772784
OD,2025-07-13,58,-4.3036052229465085
KG,2025-07-13,22,-1.1254064650568063
EC,2025-07-13,20,-2.8234145539639424
SU,2025-07-20,92,-3.1716419132380413
OD,2025-07-20,48,-2.7483369969724287
NU,2025-07-20,36,-2.368593116304651
PK,2025-07-20,1248,-2.2530878726648305
AF,2025-07-20,434,-2.3487391480665942
UZ,2025-07-20,61,-0.7060433591400517
BL,2025-07-20,21,-1.1103701945997375
VE,2025-07-20,176,-1.538410594935958
KE,2025-07-20,233,-1.6167248449900065
ET,2025-07-20,146,-1.367635974299438
CO,2025-07-20,184,-1.8657732050021674
KG,2025-07-20,21,-0.4847049479017369
ER,2025-07-20,28,-3.238212887892722
HA,2025-07-20,60,-1.885696375551029
EC,2025-07-20,43,-4.392181184824215
SO,2025-07-20,103,-1.3938800035575734
TI,2025-07-20,17,-1.3090099002149842
PE,2025-07-20,80,-0.5980161941392033
BM,2025-07-20,41,-2.691636375496424
SU,2025-07-27,120,-3.6697407272981306
KE,2025-07-27,407,-1.598812516032255
PK,2025-07-27,1151,-2.3163684193206464
KG,2025-07-27,63,3.853612222445877
VE,2025-07-27,276,-3.2561773251477617
NU,2025-07-27,24,-1.4636911662088214
EC,2025-07-27,56,-2.3180635722593084
UZ,2025-07-27,67,1.5193965516887127
PE,2025-07-27,103,0.019392146299209292
CO,2025-07-27,199,-2.5671567397113515
ET,2025-07-27,125,0.5325328914194644
AF,2025-07-27,278,-3.068039809329593
BL,2025-07-27,86,-5.335874635667388
OD,2025-07-27,65,-4.985402249715005
HA,2025-07-27,54,-1.856769577354157
BM,2025-07-27,43,-1.3611064271205695
TI,2025-07-27,27,1.465283656551019
SO,2025-07-27,76,-2.4642073737310555
ER,2025-07-27,12,-1.016413728888342
KE,2025-08-03,233,0.6473637356697379
PE,2025-08-03,168,0.4878209049583462
NU,2025-08-03,26,-2.073076684526603
EC,2025-08-03,75,0.15015133193538147
PK,2025-08-03,1438,-1.7991469635456672
UZ,2025-08-03,41,0.056475283569921826
AF,2025-08-03,406,-2.989394550738285
CO,2025-08-03,200,-1.5549325794796096
ET,2025-08-03,244,-4.1249044950538645
OD,2025-08-03,66,-2.114497692058235
VE,2025-08-03,153,-1.6702396855099886
KG,2025-08-03,28,-0.7110422198517813
HA,2025-08-03,105,-2.264882918386351
TI,2025-08-03,19,-0.8561017275757948
SU,2025-08-03,75,-3.2172625231111955
SO,2025-08-03,97,-3.23103727694745
BM,2025-08-03,34,-1.6871755632070582
BL,2025-08-03,53,0.20341132483464025
ER,2025-08-03,17,-2.263621219611472
SU,2025-08-10,188,-3.859114988473858
PK,2025-08-10,1258,-1.8373059769663271
AF,2025-08-10,804,-3.3965884240533937
UZ,2025-08-10,148,-1.330860455016074
PE,2025-08-10,118,1.0744302608676197
VE,2025-08-10,125,-2.2990054222594507
NU,2025-08-10,30,-2.8487995266338073
HA,2025-08-10,90,-0.3362445600404794
EC,2025-08-10,98,-4.972850876797953
CO,2025-08-10,198,-0.6235990293446056
KE,2025-08-10,318,-0.8920701307080955
ET,2025-08-10,179,-2.4601021330619304
OD,2025-08-10,118,-3.9925829480277226
BM,2025-08-10,55,0.22797811741669527
ER,2025-08-10,13,-3.62623991012136
BL,2025-08-10,42,2.6101437217659864
